epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9240498542785645,0.0010000000474974513,0.3708115220069885,0.9578977823257446,0.2959176003932953
0,0.8940027356147766,0.0010000000474974513,0.43092039227485657,0.9531976580619812,0.31820541620254517
1,1.0,0.0010000000474974513,0.2972151041030884,0.9527979493141174,0.3178214728832245
0,0.32094430923461914,0.0010000000474974513,1.1753501892089844,0.6022165417671204,0.7687185406684875
1,0.644536554813385,0.0010000000474974513,0.6529738306999207,0.6881904006004333,0.641473650932312
2,0.7702781558036804,0.0010000000474974513,0.4776313006877899,0.7670421600341797,0.4938373863697052
3,0.8350272178649902,0.0010000000474974513,0.3920436203479767,0.8505087494850159,0.39440956711769104
4,0.8699547648429871,0.0010000000474974513,0.34390684962272644,0.8626090288162231,0.36913001537323
5,0.8942691087722778,0.0010000000474974513,0.3081516623497009,0.8837572932243347,0.31515321135520935
6,0.9111189246177673,0.0010000000474974513,0.28314414620399475,0.8799055218696594,0.324684739112854
7,0.9259142279624939,0.0010000000474974513,0.2614363431930542,0.9037063717842102,0.292437344789505
8,0.9347889423370361,0.0010000000474974513,0.24461038410663605,0.8700944781303406,0.3240789473056793
9,0.9419495463371277,0.0010000000474974513,0.229455828666687,0.8717296719551086,0.3130967319011688
10,0.9483441710472107,0.0010000000474974513,0.21710674464702606,0.90625,0.2755644917488098
11,0.9511281847953796,0.0010000000474974513,0.2064104676246643,0.9364825487136841,0.22692300379276276
12,0.9567934274673462,0.0010000000474974513,0.19580139219760895,0.8807775974273682,0.2840564250946045
13,0.9601731300354004,0.0010000000474974513,0.18685485422611237,0.9458938837051392,0.1946505755186081
14,0.9644038081169128,0.0010000000474974513,0.17725592851638794,0.926598846912384,0.21339282393455505
15,0.9663854241371155,0.0010000000474974513,0.1694512516260147,0.9165334105491638,0.21812593936920166
16,0.9694247245788574,0.0010000000474974513,0.1617119312286377,0.9694040417671204,0.15904377400875092
17,0.9713698625564575,0.0010000000474974513,0.15424184501171112,0.9381540417671204,0.18061335384845734
18,0.9737405180931091,0.0010000000474974513,0.14760127663612366,0.9352834224700928,0.1832859069108963
19,0.9744213223457336,0.0010000000474974513,0.14244872331619263,0.9337209463119507,0.1705935299396515
20,0.9750048518180847,0.0010000000474974513,0.13730670511722565,0.9430232644081116,0.16992869973182678
21,0.9769864678382874,0.0010000000474974513,0.13138486444950104,0.9492369294166565,0.15218472480773926
22,0.9773876667022705,0.0010000000474974513,0.12646105885505676,0.9355378150939941,0.1633339673280716
23,0.9795395135879517,0.0010000000474974513,0.12153728306293488,0.9437863230705261,0.15850970149040222
24,0.9799528121948242,0.0010000000474974513,0.1175047755241394,0.969222366809845,0.1282854527235031
